feature_set,model_kind,attack_q,risk_threshold,strong_attack_q,d_attack_thr,seeds,dev_attack_min_mean,dev_attack_min_min,dev_attack_min_max,dev_ood_max_mean,dev_ood_max_min,dev_ood_max_max,dev_review_max_mean,dev_review_max_min,dev_review_max_max,dev_score_mean,dev_score_min,dev_score_max,feasible_1pct_all_seeds,feasible_5pct_all_seeds
past_temporal_only,histgb_shallow,0.995,0.5,0.75,1.0,5,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.96875,0.96875,True,True
past_temporal_only,histgb_shallow,0.995,0.5,0.75,1.25,5,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.96875,0.96875,True,True
past_temporal_only,histgb_shallow,0.995,0.7,0.75,1.0,5,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.96875,0.96875,True,True
past_temporal_only,histgb_shallow,0.995,0.7,0.75,1.25,5,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.96875,0.96875,True,True
past_temporal_only,histgb_shallow,0.995,0.9,0.75,1.0,5,1.0,1.0,1.0,0.0013333333333333333,0.0013333333333333333,0.0013333333333333333,0.0,0.0,0.0,0.998,0.998,0.998,True,True
past_temporal_only,histgb_shallow,0.995,0.9,0.75,1.25,5,1.0,1.0,1.0,0.0013333333333333333,0.0013333333333333333,0.0013333333333333333,0.0,0.0,0.0,0.998,0.998,0.998,True,True
past_temporal_only,logreg_balanced,0.99,0.5,0.75,1.0,5,0.96875,0.96875,0.96875,0.6575438596491228,0.6575438596491228,0.6575438596491228,0.0,0.0,0.0,-0.017565789473684146,-0.017565789473684146,-0.017565789473684146,False,False
past_temporal_only,logreg_balanced,0.99,0.5,0.75,1.25,5,0.96875,0.96875,0.96875,0.6575438596491228,0.6575438596491228,0.6575438596491228,0.0,0.0,0.0,-0.017565789473684146,-0.017565789473684146,-0.017565789473684146,False,False
past_temporal_only,logreg_balanced,0.99,0.7,0.75,1.0,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.99,0.7,0.75,1.25,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.99,0.9,0.75,1.0,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.99,0.9,0.75,1.25,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.995,0.5,0.75,1.0,5,0.96875,0.96875,0.96875,0.6575438596491228,0.6575438596491228,0.6575438596491228,0.0,0.0,0.0,-0.017565789473684146,-0.017565789473684146,-0.017565789473684146,False,False
past_temporal_only,logreg_balanced,0.995,0.5,0.75,1.25,5,0.96875,0.96875,0.96875,0.6575438596491228,0.6575438596491228,0.6575438596491228,0.0,0.0,0.0,-0.017565789473684146,-0.017565789473684146,-0.017565789473684146,False,False
past_temporal_only,logreg_balanced,0.995,0.7,0.75,1.0,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.995,0.7,0.75,1.25,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.995,0.9,0.75,1.0,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
past_temporal_only,logreg_balanced,0.995,0.9,0.75,1.25,5,1.0,1.0,1.0,0.6582456140350877,0.6582456140350877,0.6582456140350877,0.0,0.0,0.0,0.012631578947368327,0.012631578947368327,0.012631578947368327,False,False
