dataset,holdout,method,seed,seed_group,ood_target,ood_target_label,threshold,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,ood_val_alarm_at_selection,id_calib_alarm_at_selection
primary_lowood,primary_lowood,M4b_source_rich_top32_random64_fixed_guard,44,main_42_46,0.02,2.0pct,-1.9396488671837262,True,True,False,False,0.0045,0.02
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.005,0.5pct,0.8227135750337576,True,True,False,False,0.001,0.005
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.008,0.8pct,0.6582405219288783,True,True,False,False,0.0015,0.0078
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.01,1.0pct,0.5732657166769332,True,True,False,False,0.0015,0.01
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.012,1.2pct,0.457143862720154,True,True,False,False,0.0015,0.012
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.015,1.5pct,0.2612653654966432,True,True,False,False,0.0015,0.0148
primary_lowood,primary_lowood,M5_source_rich_top16_kcenter32_fixed_guard,44,main_42_46,0.02,2.0pct,-0.1260793574850285,True,True,False,False,0.0025,0.02
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.005,0.5pct,-4.1156048315722,True,True,False,False,0.002,0.0048
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.008,0.8pct,-4.3551811513025855,True,True,False,False,0.0035,0.0078
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.01,1.0pct,-4.410592422953027,True,True,False,False,0.004,0.01
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.012,1.2pct,-4.457162854203051,True,True,False,False,0.004,0.0118
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.015,1.5pct,-4.5394770909284174,True,True,False,False,0.0045,0.015
primary_lowood,primary_lowood,M7_source_rich_top48_kcenter32_fixed_guard,44,main_42_46,0.02,2.0pct,-4.647418815057926,True,True,False,False,0.0065,0.0198
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.005,0.5pct,-4.2105346205874765,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.008,0.8pct,-4.33549208002283,True,True,False,False,0.001,0.008
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.01,1.0pct,-4.41641482616712,True,True,False,False,0.001,0.0098
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.012,1.2pct,-4.489470516909927,True,True,False,False,0.0015,0.012
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.015,1.5pct,-4.542583907018168,True,True,False,False,0.0015,0.0148
primary_lowood,primary_lowood,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.02,2.0pct,-4.6785895799498896,True,True,False,False,0.0015,0.0198
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.005,0.5pct,-3.4316049681429224,True,True,False,False,0.005,0.003
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.008,0.8pct,-3.6250076377164384,True,True,False,False,0.008,0.0038
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.01,1.0pct,-3.772979384037301,True,True,False,False,0.0095,0.0064
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.012,1.2pct,-3.9248233490146522,True,True,False,False,0.012,0.0106
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.015,1.5pct,-4.13804520140827,True,True,False,False,0.015,0.015
primary_lowood,primary_lowood,M9_source_rich_top32_kcenter32_hardneg_w4,44,main_42_46,0.02,2.0pct,-4.275077343230887,True,True,False,False,0.016,0.02
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,45,main_42_46,0.005,0.5pct,-2.283850927043697,True,True,False,False,0.0005,0.0048
primary_lowood,primary_lowood,M0_V1_original100_kcenter32_fixed_guard,45,main_42_46,0.008,0.8pct,-2.5511138191112526,True,True,False,False,0.0005,0.008
