dataset,holdout,seed,seed_group,top_k,rank,feature_index,feature_name,selection_score,effect_vs_ood_val,effect_vs_id_calib,support_q25_minus_ood_val_q99,selection_uses_attack_eval,selection_uses_final_ood_eval,selection_rule_fixed_from_issue19
primary_lowood,primary_lowood,47,heldout_47_51,48,25,131,source_rich_131,1.344714879989624,-1.2067925930023193,0.2758444547653198,-5.746504783630371,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,26,28,HH_3_pcc_0_1,1.3272281885147095,1.0319689512252808,-0.5905184149742126,-1.9583797454833984,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,27,29,HH_1_weight_0,1.2205045223236084,0.8811867833137512,-0.6786355376243591,-5.468142986297607,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,28,2,MI_dir_5_std,1.1565014123916626,1.0897752046585083,0.13345247507095337,-3.81326961517334,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,29,170,source_rich_170,1.1417772769927979,-0.8714683651924133,0.5406177639961243,-5.3912272453308105,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,30,177,source_rich_177,1.1270934343338013,1.049070954322815,-0.15604501962661743,-0.0816400796175003,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,31,176,source_rich_176,1.0992324352264404,1.036327838897705,0.1258091777563095,-0.37025290727615356,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,32,210,source_rich_210,1.092695951461792,1.0698678493499756,-0.04565628990530968,-6.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,33,26,HH_3_magnitude_0_1,1.0291751623153687,0.8217939734458923,0.41476237773895264,-1.0418732166290283,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,34,195,source_rich_195,0.9918795824050903,0.7749845385551453,0.4337901175022125,-0.9687439203262329,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,35,122,source_rich_122,0.9793434143066406,-0.41290420293807983,-1.1328784227371216,-6.173483371734619,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,36,112,source_rich_112,0.936438262462616,0.9193313717842102,0.03421373292803764,-0.4370687007904053,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,37,184,source_rich_184,0.9081248044967651,-0.7566538453102112,0.3029419481754303,-4.969162940979004,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,38,149,source_rich_149,0.8929938077926636,-0.6202794313430786,-0.5454288125038147,-0.42963120341300964,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,39,95,HpHp_0.01_std_0,0.8693429827690125,0.6399704217910767,0.4587451219558716,-6.583510398864746,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,40,246,source_rich_246,0.861768364906311,-0.5281553268432617,-0.6672261357307434,-4.443327903747559,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,41,253,source_rich_253,0.814659833908081,0.6433345675468445,0.34265056252479553,-0.04903799295425415,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,42,136,source_rich_136,0.786615252494812,-0.6416322588920593,-0.28996598720550537,-0.4669044315814972,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,43,101,source_rich_101,0.7736243605613708,0.5422543287277222,0.46274009346961975,-0.133500337600708,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,44,46,HH_0.01_radius_0_1,0.7387226819992065,-0.4249257445335388,-0.6275939345359802,-0.9126889705657959,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,45,227,source_rich_227,0.7225526571273804,-0.6129593849182129,-0.21918648481369019,-0.0854610800743103,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,46,75,HpHp_3_radius_0_1,0.7222575545310974,-0.5266048908233643,-0.3913053572177887,-0.27278611063957214,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,47,163,source_rich_163,0.7061266303062439,0.40883442759513855,-0.5945844054222107,-0.6440167427062988,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,48,48,107,source_rich_107,0.6786664128303528,0.11420076340436935,-1.1289312839508057,-4.3940911293029785,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,1,52,HH_jit_5_std,4.401937961578369,3.6068460941314697,1.4864063262939453,1.037782907485962,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,2,73,HpHp_3_mean_0,2.627645492553711,-2.390744924545288,-0.47380104660987854,-1.2361297607421875,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,3,125,source_rich_125,2.6080381870269775,2.295593500137329,0.6000242233276367,0.24865055084228516,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,4,250,source_rich_250,2.274935245513916,1.661884069442749,-1.2261024713516235,-4.672441482543945,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,5,39,HH_0.1_radius_0_1,2.194256544113159,1.9047508239746094,0.5790113210678101,-0.19727802276611328,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,6,252,source_rich_252,2.005866289138794,-1.4481929540634155,-1.1153466701507568,-0.8178179860115051,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,7,251,source_rich_251,1.9697074890136719,-1.5175341367721558,0.9043467044830322,-9.930511474609375,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,8,257,source_rich_257,1.9695444107055664,-1.4098317623138428,-1.1194252967834473,-0.6772486567497253,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,9,151,source_rich_151,1.9544131755828857,-1.8224252462387085,0.26397591829299927,-1.0532556772232056,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,10,218,source_rich_218,1.9201964139938354,1.4218151569366455,0.9967625737190247,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,11,205,source_rich_205,1.8958449363708496,1.4186649322509766,0.9543598890304565,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,12,231,source_rich_231,1.8116893768310547,1.335597276687622,0.9521842002868652,-0.009251929819583893,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,13,182,source_rich_182,1.7887065410614014,1.703950047492981,-0.013713913038372993,1.5579910278320312,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,14,169,source_rich_169,1.6511701345443726,1.5817110538482666,0.13891814649105072,-0.45621252059936523,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,15,20,HH_5_covariance_0_1,1.6112385988235474,1.4711798429489136,0.2801174521446228,-0.7647213935852051,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,16,34,HH_1_covariance_0_1,1.5698210000991821,-1.4530307054519653,-0.23358051478862762,-1.0760252475738525,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,17,224,source_rich_224,1.5678739547729492,1.2712185382843018,-0.5933107137680054,-5.999812126159668,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,18,223,source_rich_223,1.5368461608886719,1.1630135774612427,-0.747665286064148,-5.98622989654541,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,19,33,HH_1_magnitude_0_1,1.4277068376541138,1.3531086444854736,0.14919649064540863,-0.7081103920936584,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,20,164,source_rich_164,1.4221675395965576,-1.3020128011703491,0.24030958116054535,-1.0080127716064453,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,21,121,source_rich_121,1.3983752727508545,-1.1649678945541382,0.46681466698646545,-12.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,22,236,source_rich_236,1.3741261959075928,1.1412204504013062,-0.4658114016056061,-1.423415184020996,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,23,211,source_rich_211,1.3597133159637451,1.2295399904251099,-0.26034653186798096,-6.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,24,59,HH_jit_0.1_weight,1.352868676185608,-1.2318487167358398,-0.24203985929489136,-1.3835506439208984,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,25,131,source_rich_131,1.344714879989624,-1.2067925930023193,0.2758444547653198,-5.746504783630371,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,26,28,HH_3_pcc_0_1,1.3272281885147095,1.0319689512252808,-0.5905184149742126,-1.9583797454833984,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,27,29,HH_1_weight_0,1.2205045223236084,0.8811867833137512,-0.6786355376243591,-5.468142986297607,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,28,2,MI_dir_5_std,1.1565014123916626,1.0897752046585083,0.13345247507095337,-3.81326961517334,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,29,170,source_rich_170,1.1417772769927979,-0.8714683651924133,0.5406177639961243,-5.3912272453308105,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,30,177,source_rich_177,1.1270934343338013,1.049070954322815,-0.15604501962661743,-0.0816400796175003,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,31,176,source_rich_176,1.0992324352264404,1.036327838897705,0.1258091777563095,-0.37025290727615356,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,32,210,source_rich_210,1.092695951461792,1.0698678493499756,-0.04565628990530968,-6.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,33,26,HH_3_magnitude_0_1,1.0291751623153687,0.8217939734458923,0.41476237773895264,-1.0418732166290283,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,34,195,source_rich_195,0.9918795824050903,0.7749845385551453,0.4337901175022125,-0.9687439203262329,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,35,122,source_rich_122,0.9793434143066406,-0.41290420293807983,-1.1328784227371216,-6.173483371734619,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,36,112,source_rich_112,0.936438262462616,0.9193313717842102,0.03421373292803764,-0.4370687007904053,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,37,184,source_rich_184,0.9081248044967651,-0.7566538453102112,0.3029419481754303,-4.969162940979004,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,38,149,source_rich_149,0.8929938077926636,-0.6202794313430786,-0.5454288125038147,-0.42963120341300964,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,39,95,HpHp_0.01_std_0,0.8693429827690125,0.6399704217910767,0.4587451219558716,-6.583510398864746,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,40,246,source_rich_246,0.861768364906311,-0.5281553268432617,-0.6672261357307434,-4.443327903747559,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,41,253,source_rich_253,0.814659833908081,0.6433345675468445,0.34265056252479553,-0.04903799295425415,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,42,136,source_rich_136,0.786615252494812,-0.6416322588920593,-0.28996598720550537,-0.4669044315814972,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,43,101,source_rich_101,0.7736243605613708,0.5422543287277222,0.46274009346961975,-0.133500337600708,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,44,46,HH_0.01_radius_0_1,0.7387226819992065,-0.4249257445335388,-0.6275939345359802,-0.9126889705657959,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,45,227,source_rich_227,0.7225526571273804,-0.6129593849182129,-0.21918648481369019,-0.0854610800743103,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,46,75,HpHp_3_radius_0_1,0.7222575545310974,-0.5266048908233643,-0.3913053572177887,-0.27278611063957214,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,47,163,source_rich_163,0.7061266303062439,0.40883442759513855,-0.5945844054222107,-0.6440167427062988,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,48,107,source_rich_107,0.6786664128303528,0.11420076340436935,-1.1289312839508057,-4.3940911293029785,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,49,40,HH_0.1_magnitude_0_1,0.6717459559440613,-0.21842709183692932,-0.9066377282142639,-1.455826759338379,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,50,185,source_rich_185,0.6665892601013184,0.3272322416305542,0.6787140369415283,-4.748091697692871,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,51,202,source_rich_202,0.6635523438453674,0.493144690990448,0.3408152759075165,-0.733908474445343,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,52,254,source_rich_254,0.6565231084823608,-0.39041557908058167,-0.5322149991989136,-1.5748542547225952,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,53,189,source_rich_189,0.6563177108764648,-0.43148669600486755,0.4496620297431946,-0.9748263359069824,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,54,201,source_rich_201,0.6518616676330566,-0.6182472109794617,-0.06722888350486755,-0.08336782455444336,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,55,212,source_rich_212,0.6505762934684753,0.5429797172546387,0.21519313752651215,-1.0350896120071411,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,56,199,source_rich_199,0.6502265334129333,0.5553373694419861,0.18977834284305573,-1.0342060327529907,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,57,200,source_rich_200,0.6440333127975464,0.4453243613243103,0.3974178731441498,-0.19199523329734802,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,58,120,source_rich_120,0.6407269835472107,-0.13359807431697845,-1.014257788658142,-4.255890369415283,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,59,162,source_rich_162,0.6376522779464722,-0.2764551341533661,-0.7223942875862122,-0.2360680103302002,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,60,172,source_rich_172,0.6173062324523926,0.4042082726955414,0.42619597911834717,-4.872213363647461,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,61,217,source_rich_217,0.6053076386451721,-0.37034404277801514,0.46992722153663635,-0.0008056177175603807,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,62,241,source_rich_241,0.5950912237167358,0.21973145008087158,-0.7507194876670837,-0.7352852821350098,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,63,226,source_rich_226,0.5907520055770874,0.3971956670284271,0.38711264729499817,-0.19243159890174866,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,64,64,225,source_rich_225,0.5710998773574829,0.4456455111503601,0.2509087026119232,-1.0359703302383423,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,1,52,HH_jit_5_std,4.401937961578369,3.6068460941314697,1.4864063262939453,1.037782907485962,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,2,73,HpHp_3_mean_0,2.627645492553711,-2.390744924545288,-0.47380104660987854,-1.2361297607421875,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,3,125,source_rich_125,2.6080381870269775,2.295593500137329,0.6000242233276367,0.24865055084228516,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,4,250,source_rich_250,2.274935245513916,1.661884069442749,-1.2261024713516235,-4.672441482543945,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,5,39,HH_0.1_radius_0_1,2.194256544113159,1.9047508239746094,0.5790113210678101,-0.19727802276611328,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,6,252,source_rich_252,2.005866289138794,-1.4481929540634155,-1.1153466701507568,-0.8178179860115051,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,7,251,source_rich_251,1.9697074890136719,-1.5175341367721558,0.9043467044830322,-9.930511474609375,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,8,257,source_rich_257,1.9695444107055664,-1.4098317623138428,-1.1194252967834473,-0.6772486567497253,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,9,151,source_rich_151,1.9544131755828857,-1.8224252462387085,0.26397591829299927,-1.0532556772232056,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,10,218,source_rich_218,1.9201964139938354,1.4218151569366455,0.9967625737190247,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,11,205,source_rich_205,1.8958449363708496,1.4186649322509766,0.9543598890304565,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,12,231,source_rich_231,1.8116893768310547,1.335597276687622,0.9521842002868652,-0.009251929819583893,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,13,182,source_rich_182,1.7887065410614014,1.703950047492981,-0.013713913038372993,1.5579910278320312,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,14,169,source_rich_169,1.6511701345443726,1.5817110538482666,0.13891814649105072,-0.45621252059936523,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,15,20,HH_5_covariance_0_1,1.6112385988235474,1.4711798429489136,0.2801174521446228,-0.7647213935852051,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,16,34,HH_1_covariance_0_1,1.5698210000991821,-1.4530307054519653,-0.23358051478862762,-1.0760252475738525,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,17,224,source_rich_224,1.5678739547729492,1.2712185382843018,-0.5933107137680054,-5.999812126159668,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,18,223,source_rich_223,1.5368461608886719,1.1630135774612427,-0.747665286064148,-5.98622989654541,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,19,33,HH_1_magnitude_0_1,1.4277068376541138,1.3531086444854736,0.14919649064540863,-0.7081103920936584,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,20,164,source_rich_164,1.4221675395965576,-1.3020128011703491,0.24030958116054535,-1.0080127716064453,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,21,121,source_rich_121,1.3983752727508545,-1.1649678945541382,0.46681466698646545,-12.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,22,236,source_rich_236,1.3741261959075928,1.1412204504013062,-0.4658114016056061,-1.423415184020996,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,23,211,source_rich_211,1.3597133159637451,1.2295399904251099,-0.26034653186798096,-6.0,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,24,59,HH_jit_0.1_weight,1.352868676185608,-1.2318487167358398,-0.24203985929489136,-1.3835506439208984,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,25,131,source_rich_131,1.344714879989624,-1.2067925930023193,0.2758444547653198,-5.746504783630371,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,26,28,HH_3_pcc_0_1,1.3272281885147095,1.0319689512252808,-0.5905184149742126,-1.9583797454833984,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,27,29,HH_1_weight_0,1.2205045223236084,0.8811867833137512,-0.6786355376243591,-5.468142986297607,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,28,2,MI_dir_5_std,1.1565014123916626,1.0897752046585083,0.13345247507095337,-3.81326961517334,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,29,170,source_rich_170,1.1417772769927979,-0.8714683651924133,0.5406177639961243,-5.3912272453308105,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,30,177,source_rich_177,1.1270934343338013,1.049070954322815,-0.15604501962661743,-0.0816400796175003,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,31,176,source_rich_176,1.0992324352264404,1.036327838897705,0.1258091777563095,-0.37025290727615356,False,False,True
primary_lowood,primary_lowood,47,heldout_47_51,32,32,210,source_rich_210,1.092695951461792,1.0698678493499756,-0.04565628990530968,-6.0,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,1,52,HH_jit_5_std,4.401937961578369,3.6068460941314697,1.4864063262939453,1.037782907485962,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,2,73,HpHp_3_mean_0,2.627645492553711,-2.390744924545288,-0.47380104660987854,-1.2361297607421875,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,3,125,source_rich_125,2.6080381870269775,2.295593500137329,0.6000242233276367,0.24865055084228516,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,4,250,source_rich_250,2.274935245513916,1.661884069442749,-1.2261024713516235,-4.672441482543945,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,5,39,HH_0.1_radius_0_1,2.194256544113159,1.9047508239746094,0.5790113210678101,-0.19727802276611328,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,6,252,source_rich_252,2.005866289138794,-1.4481929540634155,-1.1153466701507568,-0.8178179860115051,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,7,251,source_rich_251,1.9697074890136719,-1.5175341367721558,0.9043467044830322,-9.930511474609375,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,8,257,source_rich_257,1.9695444107055664,-1.4098317623138428,-1.1194252967834473,-0.6772486567497253,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,9,151,source_rich_151,1.9544131755828857,-1.8224252462387085,0.26397591829299927,-1.0532556772232056,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,10,218,source_rich_218,1.9201964139938354,1.4218151569366455,0.9967625737190247,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,11,205,source_rich_205,1.8958449363708496,1.4186649322509766,0.9543598890304565,-0.011540208011865616,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,12,231,source_rich_231,1.8116893768310547,1.335597276687622,0.9521842002868652,-0.009251929819583893,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,13,182,source_rich_182,1.7887065410614014,1.703950047492981,-0.013713913038372993,1.5579910278320312,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,14,169,source_rich_169,1.6511701345443726,1.5817110538482666,0.13891814649105072,-0.45621252059936523,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,15,20,HH_5_covariance_0_1,1.6112385988235474,1.4711798429489136,0.2801174521446228,-0.7647213935852051,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,16,34,HH_1_covariance_0_1,1.5698210000991821,-1.4530307054519653,-0.23358051478862762,-1.0760252475738525,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,17,224,source_rich_224,1.5678739547729492,1.2712185382843018,-0.5933107137680054,-5.999812126159668,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,18,223,source_rich_223,1.5368461608886719,1.1630135774612427,-0.747665286064148,-5.98622989654541,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,19,33,HH_1_magnitude_0_1,1.4277068376541138,1.3531086444854736,0.14919649064540863,-0.7081103920936584,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,20,164,source_rich_164,1.4221675395965576,-1.3020128011703491,0.24030958116054535,-1.0080127716064453,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,21,121,source_rich_121,1.3983752727508545,-1.1649678945541382,0.46681466698646545,-12.0,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,22,236,source_rich_236,1.3741261959075928,1.1412204504013062,-0.4658114016056061,-1.423415184020996,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,23,211,source_rich_211,1.3597133159637451,1.2295399904251099,-0.26034653186798096,-6.0,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,24,59,HH_jit_0.1_weight,1.352868676185608,-1.2318487167358398,-0.24203985929489136,-1.3835506439208984,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,25,131,source_rich_131,1.344714879989624,-1.2067925930023193,0.2758444547653198,-5.746504783630371,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,26,28,HH_3_pcc_0_1,1.3272281885147095,1.0319689512252808,-0.5905184149742126,-1.9583797454833984,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,27,29,HH_1_weight_0,1.2205045223236084,0.8811867833137512,-0.6786355376243591,-5.468142986297607,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,28,2,MI_dir_5_std,1.1565014123916626,1.0897752046585083,0.13345247507095337,-3.81326961517334,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,29,170,source_rich_170,1.1417772769927979,-0.8714683651924133,0.5406177639961243,-5.3912272453308105,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,30,177,source_rich_177,1.1270934343338013,1.049070954322815,-0.15604501962661743,-0.0816400796175003,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,31,176,source_rich_176,1.0992324352264404,1.036327838897705,0.1258091777563095,-0.37025290727615356,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,32,210,source_rich_210,1.092695951461792,1.0698678493499756,-0.04565628990530968,-6.0,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,1,52,HH_jit_5_std,4.390403747558594,3.5820987224578857,1.5124393701553345,1.0417091846466064,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,2,182,source_rich_182,2.833418846130371,2.5413622856140137,0.40795040130615234,1.7616281509399414,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,3,125,source_rich_125,2.5004329681396484,2.234894037246704,0.5255715847015381,0.05506539344787598,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,4,73,HpHp_3_mean_0,2.358736038208008,-2.1000871658325195,-0.5172975659370422,-1.2523831129074097,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,5,151,source_rich_151,2.265909194946289,-2.1963605880737305,-0.1390971839427948,-1.1084991693496704,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,6,250,source_rich_250,2.264847755432129,1.5719428062438965,-1.385810136795044,-5.796401023864746,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,7,104,source_rich_104,2.239117383956909,1.901301622390747,0.675631582736969,-0.17416930198669434,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,8,169,source_rich_169,2.139627456665039,1.909249186515808,0.4607565104961395,-0.1882493495941162,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,9,251,source_rich_251,1.7247743606567383,-1.2530395984649658,0.9434694051742554,-9.930511474609375,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,10,224,source_rich_224,1.6499195098876953,1.3441190719604492,-0.611600935459137,-5.997880458831787,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,11,223,source_rich_223,1.6220808029174805,1.2864638566970825,-0.6712338924407959,-5.856391906738281,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,12,131,source_rich_131,1.588627815246582,-1.5625911951065063,0.05207328870892525,-5.782934665679932,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,13,116,source_rich_116,1.5862648487091064,-1.4135500192642212,-0.3454297184944153,-4.558689594268799,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,14,252,source_rich_252,1.5846679210662842,-1.162091612815857,-0.845152735710144,-0.7948976159095764,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,15,164,source_rich_164,1.5612876415252686,-1.481121301651001,0.16033270955085754,-0.9659223556518555,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,16,72,HpHp_3_weight_0,1.5257797241210938,1.3621028661727905,0.327353835105896,-0.771841287612915,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,17,257,source_rich_257,1.493857741355896,-1.0839263200759888,-0.8198629021644592,-0.616865873336792,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,18,170,source_rich_170,1.4880383014678955,-1.36287260055542,0.25033146142959595,-5.501226425170898,False,False,True
primary_lowood,primary_lowood,48,heldout_47_51,32,19,211,source_rich_211,1.440219521522522,1.3036038875579834,-0.27323117852211,-6.0,False,False,True
